,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
0,2015-01-02,47.0,male,gun,White,Aloha,OR,not,False,False,"Washington County Sheriff's Office, OR",2015.0
1,2015-01-02,53.0,male,gun,Asian,Shelton,WA,not,False,True,"Mason County Sheriff's Office, WA",2015.0
2,2015-01-03,23.0,male,unarmed,Hispanic,Wichita,KS,not,False,False,"Wichita Police Department, KS",2015.0
3,2015-01-04,18.0,male,gun,White,Guthrie,OK,not,False,False,"Oklahoma Highway Patrol, OK",2015.0
4,2015-01-04,39.0,male,other,Hispanic,Evans,CO,not,False,False,"Evans Police Department, CO",2015.0
5,2015-01-04,32.0,male,replica,White,San Francisco,CA,not,False,True,"San Francisco Police Department, CA",2015.0
6,2015-01-05,22.0,male,gun,Hispanic,Chandler,AZ,car,False,False,"Chandler Police Department, AZ",2015.0
7,2015-01-06,25.0,male,knife,White,Stockton,CA,not,False,False,"Stockton Police Department, CA",2015.0
8,2015-01-06,47.0,male,replica,Black,Knoxville,PA,not,False,False,"U.S. Marshals Service, PA",2015.0
9,2015-01-06,34.0,female,unarmed,White,Burlington,IA,not,True,False,"Burlington Police Department, IA",2015.0
10,2015-01-06,35.0,male,gun,White,Assaria,KS,not,False,False,"Saline County Sheriff's Department, KS",2015.0
11,2015-01-07,37.0,male,gun,Black,New Orleans,LA,foot,True,False,"New Orleans Police Department, LA",2015.0
12,2015-01-07,30.0,male,gun,White,Des Moines,IA,car,False,False,"Des Moines Police Department, IA",2015.0
13,2015-01-07,41.0,male,knife,Black,Columbus,OH,not,False,True,"Columbus Police Department, OH",2015.0
14,2015-01-07,31.0,male,gun,Black,Freeport,TX,not,False,False,"Freeport Police Department, TX",2015.0
15,2015-01-08,49.0,male,gun,White,Syracuse,UT,not,True,False,"Davis County Sheriff's Office, UT;Syracuse Police Department, UT",2015.0
16,2015-01-08,36.0,male,unarmed,Black,Strong,AR,not,False,False,"Union County Sheriff's Department, AR",2015.0
17,2015-01-08,42.0,male,blunt_object,White,Salt Lake City,UT,not,True,False,"Salt Lake City Police Department, UT",2015.0
19,2015-01-09,33.0,male,gun,Hispanic,El Paso,TX,not,False,False,"El Paso Police Department, TX",2015.0
20,2015-01-09,71.0,male,gun,White,England,AR,not,False,False,"England Police Department, AR",2015.0
21,2015-01-11,29.0,male,gun,Hispanic,North Las Vegas,NV,foot,False,False,"North Las Vegas Police Department, NV",2015.0
22,2015-01-11,23.0,male,gun,Hispanic,South Gate,CA,not,False,False,"South Gate Police Department, CA",2015.0
23,2015-01-11,39.0,male,gun,White,Arcola,IL,not,False,True,"Arcola Police Department, IL",2015.0
24,2015-01-13,43.0,male,knife,White,Jourdanton,TX,not,False,True,"Jourdanton Police Department, TX",2015.0
25,2015-01-13,34.0,male,gun,White,Albuquerque,NM,foot,True,False,"Albuquerque Police Department, NM",2015.0
26,2015-01-14,34.0,male,knife,White,Draper,UT,not,True,False,"Draper Police Department, UT;West Valley City Police Department, UT",2015.0
27,2015-01-14,68.0,male,gun,White,Lake Jackson,TX,not,False,False,"Lake Jackson Police Department, TX",2015.0
28,2015-01-14,75.0,male,knife,White,Old Bridge,NJ,not,False,False,"Old Bridge Police Department, NJ",2015.0
29,2015-01-14,34.0,male,gun,Black,Chesapeake,VA,not,False,True,"Chesapeake Police Department, VA",2015.0
32,2015-01-15,33.0,male,gun,White,Evangeline Parish,LA,not,False,False,"Louisiana State Police, LA",2015.0
33,2015-01-15,36.0,male,knife,Hispanic,Fairfield,CA,not,False,True,"Fairfield Police Department, CA",2015.0
34,2015-01-15,24.0,male,gun,White,Bloomington,MN,not,False,True,"Bloomington Police Department, MN",2015.0
35,2015-01-15,39.0,male,gun,Black,Aurora,CO,not,False,False,"Aurora Police Department, CO",2015.0
36,2015-01-15,27.0,male,gun,Black,Indianapolis,IN,foot,False,False,"Indianapolis Metropolitan Police Department, IN",2015.0
37,2015-01-16,48.0,male,knife,Other,Fremont,CA,not,False,False,"Fremont Police Department, CA",2015.0
38,2015-01-16,41.0,male,gun,White,Mabank,TX,car,False,False,"Texas Rangers, TX",2015.0
39,2015-01-17,27.0,male,knife,Hispanic,Fort Worth,TX,not,False,False,"Fort Worth Police Department, TX",2015.0
40,2015-01-17,24.0,male,gun,Hispanic,Los Angeles,CA,not,False,False,"Los Angeles Police Department, CA",2015.0
41,2015-01-17,21.0,male,gun,Black,Muskogee,OK,foot,True,False,"Muskogee Police Department, OK",2015.0
42,2015-01-18,67.0,male,gun,White,Gunlock,KY,not,False,True,"Kentucky State Police, KY",2015.0
43,2015-01-18,32.0,male,gun,White,Maricopa,AZ,not,False,True,"Maricopa Police Department, AZ",2015.0
44,2015-01-19,49.0,male,knife,White,Weymouth,MA,not,False,False,"Weymouth Police Department, MA",2015.0
